megnevezes,irsz
Budapest - XII. - kerület - Erzsébetkilátó - út - az egész utca irányítószáma,1121
Budapest - XIV. - kerület - Erzsébetkirályné - útja - az utca többi részének irányítószáma,1142
Budapest - XIV. - kerület - Erzsébetkirályné - útja - 5 - 41,1145
Budapest - XIV. - kerület - Erzsébetkirályné - útja - 8 - 30,1145
Budapest - XIV. - kerület - Erzsébetkirályné - útja - 1 - 3,1146
Budapest - XIV. - kerület - Erzsébetkirályné - útja - 2 - 6,1146
Budapest - XXII. - kerület - Erzsébetkirályné - út - az egész utca irányítószáma,1223
Budapest - II. - kerület - Eskü - utca - az egész utca irányítószáma,1028
Budapest - XIII. - kerület - Esküvõ - köz - az egész utca irányítószáma,1139
Budapest - III. - kerület - Esõ - utca - az egész utca irányítószáma,1034
Budapest - XVIII. - kerület - Est - utca - az egész utca irányítószáma,1181
Budapest - XVIII. - kerület - Est - köz - az egész utca irányítószáma,1181
Budapest - XV. - kerület - Esthajnal - utca - az egész utca irányítószáma,1151
Budapest - III. - kerület - EstiKornél - utca - az egész utca irányítószáma,1037
Budapest - XI. - kerület - Estike - utca - az egész utca irányítószáma,1119
Budapest - III. - kerület - Észak - utca - az egész utca irányítószáma,1038
Budapest - XVIII. - kerület - EszeTamás - utca - az egész utca irányítószáma,1182
Budapest - XIX. - kerület - EszeTamás - utca - 1 - 43,1192
Budapest - XIX. - kerület - EszeTamás - utca - 2 - 48,1192
Budapest - XIX. - kerület - EszeTamás - utca - az utca többi részének irányítószáma,1196
Budapest - XXII. - kerület - EszeTamás - utca - az egész utca irányítószáma,1223
Budapest - XIII. - kerület - Eszék - park - az egész utca irányítószáma,1139
Budapest - XI. - kerület - Eszék - utca - az egész utca irányítószáma,1114
Budapest - XVII. - kerület - Eszperantó - utca - az egész utca irányítószáma,1171
Budapest - XVII. - kerület - Esztena - utca - az egész utca irányítószáma,1173
Budapest - II. - kerület - Eszter - utca - a páros oldal irányítószáma,1022
Budapest - II. - kerület - Eszter - utca - 1 - 19,1022
Budapest - II. - kerület - Eszter - utca - 21 - 0,1025
Budapest - XVIII. - kerület - Eszter - utca - az egész utca irányítószáma,1188
Budapest - XVIII. - kerület - Esztergályos - utca - az egész utca irányítószáma,1184
Budapest - XIII. - kerület - Esztergomi - út - 1 - 29,1133
Budapest - XIII. - kerület - Esztergomi - út - 2 - 42,1133
Budapest - XIII. - kerület - Esztergomi - út - az utca többi részének irányítószáma,1138
Budapest - X. - kerület - Eszterlánc - utca - az egész utca irányítószáma,1106
Budapest - XI. - kerület - Etele - tér - az utca többi részének irányítószáma,1115
Budapest - XI. - kerület - Etele - út - az utca többi részének irányítószáma,1115
Budapest - XI. - kerület - Etele - tér - 12 - 13,1119
Budapest - XI. - kerület - Etele - út - 1 - 91,1119
Budapest - XI. - kerület - Etele - út - 2 - 32,1119
Budapest - XXI. - kerület - Etele - utca - az egész utca irányítószáma,1213
Budapest - XVI. - kerület - Etelka - utca - az egész utca irányítószáma,1162
Budapest - XVI. - kerület - Etelköz - utca - az egész utca irányítószáma,1164
Budapest - XXIII. - kerület - Európa - utca - az egész utca irányítószáma,1239
Budapest - XI. - kerület - Éva - utca - az egész utca irányítószáma,1112
Budapest - XII. - kerület - Evetke - út - az egész utca irányítószáma,1121
Budapest - III. - kerület - Evezõ - utca - az egész utca irányítószáma,1036
Budapest - XXI. - kerület - Evezõs - utca - az egész utca irányítószáma,1213
Budapest - X. - kerület - Expó - tér - az egész utca irányítószáma,1101
Budapest - XVI. - kerület - Ezerjó - utca - az egész utca irányítószáma,1165
Budapest - IV. - kerület - Ezred - utca - az egész utca irányítószáma,1044
Budapest - II. - kerület - Ezredes - utca - az egész utca irányítószáma,1024
Budapest - XVII. - kerület - Ezüst - utca - az egész utca irányítószáma,1172
Budapest - X. - kerület - Ezüstfa - utca - az egész utca irányítószáma,1106
Budapest - XI. - kerület - Ezüstfenyõ - tér - az egész utca irányítószáma,1119
Budapest - XXII. - kerület - Ezüstgaras - utca - az egész utca irányítószáma,1224
Budapest - XI. - kerület - Ezüsthárs - utca - az egész utca irányítószáma,1117
Budapest - III. - kerület - Ezüsthegy - utca - az egész utca irányítószáma,1038
Budapest - III. - kerület - Ezüsthegyi - lejtõ - az egész utca irányítószáma,1038
Budapest - III. - kerület - Ezüstkõ - utca - az egész utca irányítószáma,1038
Budapest - XVI. - kerület - Fábián - utca - az egész utca irányítószáma,1165
Budapest - IX. - kerület - FábiánJuli - tér - az egész utca irányítószáma,1095
Budapest - XXII. - kerület - Fácán - utca - az egész utca irányítószáma,1225
Budapest - XXI. - kerület - Fácánhegyi - utca - az egész utca irányítószáma,1214
Budapest - XVI. - kerület - Fácánkert - utca - az egész utca irányítószáma,1162
Budapest - XII. - kerület - Fácános - tér - az egész utca irányítószáma,1121
Budapest - XXI. - kerület - Fácános - utca - az egész utca irányítószáma,1213
Budapest - XVII. - kerület - FackhKároly - tér - az egész utca irányítószáma,1172
Budapest - XI. - kerület - Facsemete - utca - az egész utca irányítószáma,1112
Budapest - XXII. - kerület - Fácska - utca - az egész utca irányítószáma,1223
Budapest - XI. - kerület - Fadrusz - utca - az egész utca irányítószáma,1114
Budapest - XIX. - kerület - Fadrusz - utca - az egész utca irányítószáma,1194
Budapest - IV. - kerület - FadruszJános - utca - az egész utca irányítószáma,1044
Budapest - X. - kerület - Fagyal - utca - az egész utca irányítószáma,1108
Budapest - XXI. - kerület - Fagyalkás - utca - az egész utca irányítószáma,1213
Budapest - XXI. - kerület - Fagyöngy - utca - az egész utca irányítószáma,1213
Budapest - XVI. - kerület - Fahéj - utca - az egész utca irányítószáma,1162
Budapest - XX. - kerület - Faiskola - utca - az egész utca irányítószáma,1201
Budapest - XIV. - kerület - Fajansz - utca - az egész utca irányítószáma,1147
Budapest - II. - kerület - Fajd - utca - az egész utca irányítószáma,1025
Budapest - XIII. - kerület - Fáklya - utca - az egész utca irányítószáma,1131
Budapest - XXIII. - kerület - Fáklya - utca - az egész utca irányítószáma,1238
Budapest - II. - kerület - Fáklyaliliom - utca - az egész utca irányítószáma,1029
Budapest - XXIII. - kerület - Fakopács - utca - az egész utca irányítószáma,1239
Budapest - IV. - kerület - Falemez - utca - az egész utca irányítószáma,1048
Budapest - V. - kerület - FalkMiksa - utca - az egész utca irányítószáma,1055
Budapest - XXII. - kerület - Falka - utca - az egész utca irányítószáma,1221
Budapest - XIII. - kerület - Faludi - utca - az egész utca irányítószáma,1138
Budapest - III. - kerület - Fanyarka - utca - az egész utca irányítószáma,1037
Budapest - IV. - kerület - Faragó - utca - az egész utca irányítószáma,1048
Budapest - XXI. - kerület - FarkasLászló - utca - az egész utca irányítószáma,1212
Budapest - X. - kerület - Farkasalma - utca - az egész utca irányítószáma,1103
Budapest - XVI. - kerület - Farkasbab - utca - az egész utca irányítószáma,1165
Budapest - IV. - kerület - Farkas - erdõ - utca - az egész utca irányítószáma,1048
Budapest - XVI. - kerület - Farkasfa - utca - az egész utca irányítószáma,1165
Budapest - XVI. - kerület - Farkasfog - utca - az egész utca irányítószáma,1165
Budapest - XVI. - kerület - Farkashalom - utca - az egész utca irányítószáma,1165
Budapest - XVI. - kerület - Farkashida - utca - az egész utca irányítószáma,1163
Budapest - XX. - kerület - Farkaslaka - utca - az egész utca irányítószáma,1202
Budapest - XVI. - kerület - Farkasszõlõ - utca - az egész utca irányítószáma,1165
Budapest - III. - kerület - Farkastorki - út - az egész utca irányítószáma,1037
Budapest - III. - kerület - Farkastorki - köz - az egész utca irányítószáma,1037
Budapest - III. - kerület - Farkastorki - lejtõ - az egész utca irányítószáma,1037
Budapest - XII. - kerület - Farkasvölgyi - út - az egész utca irányítószáma,1121
Budapest - XXI. - kerület - Farönk - utca - az egész utca irányítószáma,1211
Budapest - XX. - kerület - Fás - utca - az egész utca irányítószáma,1202
Budapest - XXIII. - kerület - Fatimai - köz - az egész utca irányítószáma,1237
Budapest - XXIII. - kerület - Fatimai - utca - az egész utca irányítószáma,1237
Budapest - XI. - kerület - Fatörzs - utca - az egész utca irányítószáma,1112
Budapest - XI. - kerület - Fátra - tér - 1 - 6,1112
Budapest - XI. - kerület - Fátra - tér - az utca többi részének irányítószáma,1114
Budapest - XVI. - kerület - Fátra - utca - az egész utca irányítószáma,1165
Budapest - XXI. - kerület - Fátra - utca - az egész utca irányítószáma,1213
Budapest - I. - kerület - Fátyol - utca - az egész utca irányítószáma,1013
Budapest - X. - kerület - Fátyolka - utca - az egész utca irányítószáma,1106
Budapest - XVII. - kerület - Fátyolvirág - utca - az egész utca irányítószáma,1171
Budapest - XIII. - kerület - Fáy - utca - az utca többi részének irányítószáma,1135
Budapest - XIII. - kerület - Fáy - utca - 1 - 51,1139
Budapest - XIII. - kerület - Fáy - utca - 2 - 60,1139
Budapest - XVIII. - kerület - Fáy - utca - az egész utca irányítószáma,1184
Budapest - XIII. - kerület - Fáy - köz - az egész utca irányítószáma,1135
Budapest - XXII. - kerület - FáyFerenc - utca - az egész utca irányítószáma,1225
Budapest - I. - kerület - Fazekas - utca - 1 - 3,1015
Budapest - I. - kerület - Fazekas - utca - 2 - 4,1015
Budapest - II. - kerület - Fazekas - utca - 5 - 0,1027
Budapest - II. - kerület - Fazekas - utca - 6 - 0,1027
Budapest - XV. - kerület - Fazekas - sor - az egész utca irányítószáma,1152
Budapest - XV. - kerület - Fázis - utca - az egész utca irányítószáma,1158
Budapest - VIII. - kerület - Fecske - utca - az egész utca irányítószáma,1084
Budapest - XIX. - kerület - Fecske - utca - az egész utca irányítószáma,1194
Budapest - XXI. - kerület - Fecske - utca - az egész utca irányítószáma,1213
Budapest - XVIII. - kerület - FedákSári - utca - az egész utca irányítószáma,1182
Budapest - XIII. - kerület - Fedélköz - utca - az egész utca irányítószáma,1138
Budapest - XVIII. - kerület - Fedezék - utca - az egész utca irányítószáma,1183
Budapest - IX. - kerület - Fegyvergyár - utca - az egész utca irányítószáma,1097
Budapest - XI. - kerület - Fegyvernek - utca - az egész utca irányítószáma,1116
Budapest - X. - kerület - Fehér - út - az egész utca irányítószáma,1106
Budapest - X. - kerület - Fehér - köz - az egész utca irányítószáma,1106
Budapest - IX. - kerület - Fehérakác - utca - az egész utca irányítószáma,1097
Budapest - III. - kerület - Fehéregyházi - út - az egész utca irányítószáma,1037
Budapest - V. - kerület - FehérHajó - utca - az egész utca irányítószáma,1052
Budapest - XXII. - kerület - Fehérhegy - utca - az egész utca irányítószáma,1222
Budapest - IX. - kerület - FehérHolló - utca - az egész utca irányítószáma,1097
Budapest - III. - kerület - Fehérítõ - utca - az egész utca irányítószáma,1037
Budapest - III. - kerület - Fehérítõgyár - utca - az egész utca irányítószáma,1037
Budapest - XI. - kerület - Fehérló - utca - az egész utca irányítószáma,1112
Budapest - XXII. - kerület - Fehérmezõ - köz - az egész utca irányítószáma,1221
Budapest - XVI. - kerület - Fehérsas - utca - az egész utca irányítószáma,1163
Budapest - XVII. - kerület - Fehértemplom - utca - az egész utca irányítószáma,1171
Budapest - XI. - kerület - Fehérvári - út - 1 - 13,1114
Budapest - XI. - kerület - Fehérvári - út - az utca többi részének irányítószáma,1116
Budapest - XI. - kerület - Fehérvári - út - 2 - 82,1117
Budapest - XI. - kerület - Fehérvári - út - 15 - 39,1117
Budapest - XI. - kerület - Fehérvári - út - 41 - 179,1119
Budapest - XI. - kerület - Fehérvári - út - 84 - 94,1119
Budapest - XXII. - kerület - Fejedelem - utca - az egész utca irányítószáma,1221
Budapest - V. - kerület - FejérGyörgy - utca - az egész utca irányítószáma,1053
Budapest - XI. - kerület - FejérLipót - utca - 1 - 15,1115
Budapest - XI. - kerület - FejérLipót - utca - 2 - 36,1115
Budapest - XI. - kerület - FejérLipót - utca - az utca többi részének irányítószáma,1119
Budapest - XI. - kerület - FejérLipót - köz - az egész utca irányítószáma,1115
Budapest - II. - kerület - Fejsze - utca - az egész utca irányítószáma,1028
Budapest - IX. - kerület - Fék - utca - az egész utca irányítószáma,1097
Budapest - II. - kerület - FeketeIstván - utca - az egész utca irányítószáma,1021
Budapest - II. - kerület - Feketefej - utca - az egész utca irányítószáma,1029
Budapest - II. - kerület - Feketefenyõ - utca - az egész utca irányítószáma,1025
Budapest - XI. - kerület - FeketeházyJános - út - az egész utca irányítószáma,1117
Budapest - II. - kerület - Feketerigó - utca - az egész utca irányítószáma,1029
Budapest - III. - kerület - Feketesalak - utca - az egész utca irányítószáma,1037
Budapest - II. - kerület - FeketeSas - utca - az egész utca irányítószáma,1027
Budapest - XXII. - kerület - Fékezõ - utca - az egész utca irányítószáma,1222
Budapest - XVI. - kerület - Felcsúti - utca - az egész utca irányítószáma,1162
Budapest - XVI. - kerület - Feldebrõ - utca - az egész utca irányítószáma,1163
Budapest - II. - kerület - Felhévízi - utca - 1 - 21,1023
Budapest - II. - kerület - Felhévízi - utca - 2 - 24,1023
Budapest - II. - kerület - Felhévízi - utca - az utca többi részének irányítószáma,1025
Budapest - XIV. - kerület - Félhold - utca - az egész utca irányítószáma,1145
Budapest - XII. - kerület - Felhõ - utca - az egész utca irányítószáma,1125
Budapest - XIII. - kerület - Felka - utca - az egész utca irányítószáma,1136
Budapest - XVIII. - kerület - Felleg - utca - az egész utca irányítószáma,1188
Budapest - IV. - kerület - Felsõ - utca - az egész utca irányítószáma,1044
Budapest - VI. - kerület - Felsõ - erdõsor - az egész utca irányítószáma,1068
Budapest - XI. - kerület - Felsõ - határút - az egész utca irányítószáma,1112
Budapest - XXIII. - kerület - FelsõDuna - part - az egész utca irányítószáma,1238
Budapest - XXIII. - kerület - FelsõDuna - sor - az egész utca irányítószáma,1238
Budapest - XXII. - kerület - FelsõSas - utca - az egész utca irányítószáma,1222
Budapest - XII. - kerület - FelsõSvábhegyi - út - az egész utca irányítószáma,1125
Budapest - XVII. - kerület - FelsõÚjlak - utca - az egész utca irányítószáma,1171
Budapest - II. - kerület - FelsõZöldmáli - út - az egész utca irányítószáma,1025
Budapest - XVII. - kerület - Felsõbabád - utca - az egész utca irányítószáma,1174
Budapest - XVII. - kerület - Felsõbánya - köz - az egész utca irányítószáma,1173
Budapest - XVII. - kerület - Felsõbánya - utca - az egész utca irányítószáma,1173
Budapest - XIV. - kerület - FelsõbükiNagyPál - utca - az egész utca irányítószáma,1148
Budapest - XXIII. - kerület - FelsõbükiNagyPál - utca - az egész utca irányítószáma,1239
Budapest - XVIII. - kerület - Felsõcsatári - köz - az egész utca irányítószáma,1183
Budapest - XVIII. - kerület - Felsõcsatári - út - az egész utca irányítószáma,1183
Budapest - XI. - kerület - Felsõgalla - utca - az egész utca irányítószáma,1116
Budapest - XV. - kerület - Felsõkert - utca - az egész utca irányítószáma,1151
Budapest - XVI. - kerület - Felsõmalom - utca - az egész utca irányítószáma,1164
Budapest - XIV. - kerület - Felsõõr - utca - az egész utca irányítószáma,1142
Budapest - XI. - kerület - Felsõörsöd - utca - az egész utca irányítószáma,1112
Budapest - XVII. - kerület - Felsõrétdûlõ - út - az egész utca irányítószáma,1171
Budapest - XI. - kerület - Feltáró - út - az egész utca irányítószáma,1116
Budapest - XX. - kerület - Felvidék - utca - az egész utca irányítószáma,1202
Budapest - II. - kerület - Felvinci - út - az egész utca irányítószáma,1022
Budapest - I. - kerület - Fém - utca - az egész utca irányítószáma,1016
Budapest - XXI. - kerület - Fémforma - öntõ - utca - az egész utca irányítószáma,1211
Budapest - XXI. - kerület - Fémmû - utca - az egész utca irányítószáma,1213
Budapest - XXII. - kerület - Fennsík - utca - az egész utca irányítószáma,1224
Budapest - XVI. - kerület - Fenõkõ - utca - az egész utca irányítószáma,1164
Budapest - II. - kerület - Fény - utca - az egész utca irányítószáma,1024
Budapest - IV. - kerület - Fénycsõ - utca - az egész utca irányítószáma,1044
Budapest - III. - kerület - FényesAdolf - utca - az egész utca irányítószáma,1036
Budapest - II. - kerület - FényesElek - utca - az egész utca irányítószáma,1024
Budapest - I. - kerület - Fenyõ - utca - az egész utca irányítószáma,1016
Budapest - II. - kerület - Fenyõerdõ - utca - az egész utca irányítószáma,1028
Budapest - XVIII. - kerület - Fenyõfa - utca - az egész utca irányítószáma,1188
Budapest - XXII. - kerület - Fenyõmadár - utca - az egész utca irányítószáma,1223
Budapest - XXII. - kerület - Fenyõpinty - utca - az egész utca irányítószáma,1223
Budapest - XXII. - kerület - Fenyõrigó - utca - az egész utca irányítószáma,1223
Budapest - XVII. - kerület - Fenyõ - sétány - az egész utca irányítószáma,1174
Budapest - XXII. - kerület - Fenyõtoboz - utca - az egész utca irányítószáma,1222
Budapest - II. - kerület - Fenyves - lépcsõ - az egész utca irányítószáma,1026
Budapest - II. - kerület - Fenyves - utca - az egész utca irányítószáma,1026
Budapest - XXI. - kerület - Fenyves - út - az egész utca irányítószáma,1213
Budapest - II. - kerület - Fenyves - lejtõ - az egész utca irányítószáma,1026
Budapest - IX. - kerület - Ferde - utca - az egész utca irányítószáma,1091
Budapest - IX. - kerület - Ferenc - tér - az egész utca irányítószáma,1094
Budapest - XVI. - kerület - Ferenc - utca - az egész utca irányítószáma,1162
Budapest - XVIII. - kerület - Ferenc - utca - az egész utca irányítószáma,1184
Budapest - XX. - kerület - Ferenc - utca - az egész utca irányítószáma,1203
Budapest - XXII. - kerület - Ferenc - utca - az egész utca irányítószáma,1222
Budapest - IX. - kerület - Ferenc - körút - a páros oldal irányítószáma,1092
Budapest - IX. - kerület - Ferenc - körút - a páratlan oldal irányítószáma,1094
Budapest - II. - kerület - Ferenchegyi - lépcsõ - az egész utca irányítószáma,1025
Budapest - II. - kerület - Ferenchegyi - út - az egész utca irányítószáma,1025
Budapest - V. - kerület - Ferenciek - tere - az egész utca irányítószáma,1053
Budapest - XIV. - kerület - FerencsikJános - út - az egész utca irányítószáma,1146
Budapest - V. - kerület - FerenczyIstván - utca - az egész utca irányítószáma,1053
Budapest - XV. - kerület - FerencziSándor - utca - az egész utca irányítószáma,1151
Budapest - III. - kerület - Fergeteg - utca - az egész utca irányítószáma,1037
Budapest - XVII. - kerület - Ferihegyi - út - 1 - 45,1172
Budapest - XVII. - kerület - Ferihegyi - út - 2 - 44,1172
Budapest - XVII. - kerület - Ferihegyi - út - 46 - 242,1173
Budapest - XVII. - kerület - Ferihegyi - út - 47 - 115,1173
Budapest - XVII. - kerület - Ferihegyi - út - 244 - 366,1174
Budapest - XVII. - kerület - Ferihegyi - út - 117 - 267,1174
Budapest - X. - kerület - Ferihegyirepülõtérrevezetõ - út - az egész utca irányítószáma,1103
Budapest - XVIII. - kerület - Ferihegyirepülõtérrevezetõ - út - az egész utca irányítószáma,1185
Budapest - XIX. - kerület - Ferihegyirepülõtérrevezetõ - út - az egész utca irányítószáma,1191
Budapest - XVI. - kerület - Fertály - utca - az egész utca irányítószáma,1162
Budapest - X. - kerület - Fertõ - utca - az egész utca irányítószáma,1107
Budapest - VIII. - kerület - FesteticsGyörgy - utca - az egész utca irányítószáma,1087
Budapest - XXI. - kerület - Festõ - utca - a páros oldal irányítószáma,1213
Budapest - XXI. - kerület - Festõ - utca - a páratlan oldal irányítószáma,1214
Budapest - III. - kerület - Fésûs - utca - az egész utca irányítószáma,1039
Budapest - XII. - kerület - Fészek - utca - az egész utca irányítószáma,1125
Budapest - XX. - kerület - Fészekrakó - utca - az egész utca irányítószáma,1204
Budapest - I. - kerület - FesztyÁrpád - utca - az egész utca irányítószáma,1013
Budapest - XVIII. - kerület - FesztyÁrpád - utca - az egész utca irányítószáma,1185
Budapest - XIX. - kerület - FesztyÁrpád - utca - az egész utca irányítószáma,1194
Budapest - XIII. - kerület - Fiastyúk - utca - az egész utca irányítószáma,1139
Budapest - XI. - kerület - Fiatal - utca - az egész utca irányítószáma,1119
Budapest - XVIII. - kerület - Fiatalság - utca - az egész utca irányítószáma,1181
Budapest - I. - kerület - FiáthJános - utca - az egész utca irányítószáma,1015
Budapest - XI. - kerület - Fibula - utca - az egész utca irányítószáma,1116
Budapest - III. - kerület - Filatori - dûlõ - az egész utca irányítószáma,1037
Budapest - II. - kerület - Fillér - lépcsõ - az egész utca irányítószáma,1022
Budapest - II. - kerület - Fillér - utca - az utca többi részének irányítószáma,1022
Budapest - II. - kerület - Fillér - utca - 1 - 29,1024
Budapest - II. - kerület - Fillér - utca - 2 - 18,1024
Budapest - II. - kerület - Fillér - utca - 20 - 42,1026
Budapest - II. - kerület - Fillér - utca - 31 - 49,1026
Budapest - III. - kerület - FischerÁgoston - park - az egész utca irányítószáma,1036
Budapest - XIV. - kerület - FischerIstván - utca - az egész utca irányítószáma,1141
Budapest - XVIII. - kerület - Fiume - utca - az egész utca irányítószáma,1182
Budapest - XX. - kerület - Fiume - utca - az egész utca irányítószáma,1202
Budapest - IV. - kerület - Fiumei - út - az egész utca irányítószáma,1044
Budapest - VIII. - kerület - Fiumei - út - 2 - 14,1081
Budapest - VIII. - kerület - Fiumei - út - 9 - 25,1081
Budapest - VIII. - kerület - Fiumei - út - 16 - 28,1086
Budapest - VIII. - kerület - Fiumei - út - 27 - 29,1086
Budapest - VIII. - kerület - Fiumei - út - 1 - 7,1087
Budapest - VIII. - kerület - Fiumei - út - az utca többi részének irányítószáma,1089
Budapest - XIII. - kerület - Fivér - utca - az egész utca irányítószáma,1131
Budapest - XVI. - kerület - Fizika - utca - az egész utca irányítószáma,1163
Budapest - XVII. - kerület - Flamingó - utca - az egész utca irányítószáma,1173
Budapest - XVII. - kerület - Flamingó - köz - az egész utca irányítószáma,1173
Budapest - XIII. - kerület - FleschÁrmin - köz - az egész utca irányítószáma,1131
Budapest - XVIII. - kerület - FlórFerenc - utca - az egész utca irányítószáma,1182
Budapest - III. - kerület - Flóra - utca - az egész utca irányítószáma,1037
Budapest - III. - kerület - Floralia - utca - az egész utca irányítószáma,1038
Budapest - III. - kerület - Flórián - tér - az egész utca irányítószáma,1033
Budapest - IV. - kerület - Flottilla - utca - az egész utca irányítószáma,1044
Budapest - XII. - kerület - Fodor - utca - az utca többi részének irányítószáma,1124
Budapest - XII. - kerület - Fodor - lépcsõ - az egész utca irányítószáma,1126
Budapest - XII. - kerület - Fodor - utca - 1 - 35,1126
Budapest - XII. - kerület - Fodor - utca - 2 - 28,1126
Budapest - XII. - kerület - Fodor - lejtõ - az egész utca irányítószáma,1121
Budapest - XVII. - kerület - Fodormenta - utca - az egész utca irányítószáma,1173
Budapest - XXIII. - kerület - Fodrász - utca - az egész utca irányítószáma,1239
Budapest - III. - kerület - Fodros - utca - az egész utca irányítószáma,1039
Budapest - III. - kerület - Fodros - köz - az egész utca irányítószáma,1039
Budapest - X. - kerület - Fogadó - utca - az egész utca irányítószáma,1107
Budapest - XVIII. - kerület - Fogaras - utca - az egész utca irányítószáma,1182
Budapest - XX. - kerület - Fogaras - utca - az egész utca irányítószáma,1202
Budapest - XIV. - kerület - Fogaras - köz - az egész utca irányítószáma,1141
Budapest - XIV. - kerület - Fogarasi - út - az utca többi részének irányítószáma,1141
Budapest - XIV. - kerület - Fogarasi - út - 1 - 13,1148
Budapest - XIV. - kerület - Fogarasi - út - 2 - 24,1148
Budapest - XIV. - kerület - Fogarasi - út - 21 - 69,1148
Budapest - XIV. - kerület - Fogarasi - út - 28 - 92,1148
Budapest - XIV. - kerület - Fogarasi - út - 15 - 19,1149
Budapest - XIV. - kerület - Fogarasi - út - 26 - 26,1149
Budapest - XXI. - kerület - Fogarasi - utca - az egész utca irányítószáma,1213
Budapest - XIV. - kerület - Fogarasi - park - az egész utca irányítószáma,1148
Budapest - XVII. - kerület - FogarassyMihály - tér - az egész utca irányítószáma,1173
Budapest - I. - kerület - Fogas - utca - az egész utca irányítószáma,1013
Budapest - XXIII. - kerület - Fogaskerék - utca - az egész utca irányítószáma,1238
Budapest - XII. - kerület - Fogaskerekû - utca - az egész utca irányítószáma,1125
Budapest - XV. - kerület - Fogat - köz - az egész utca irányítószáma,1152
Budapest - XI. - kerület - Fogócska - utca - az egész utca irányítószáma,1119
Budapest - XVIII. - kerület - Fogoly - utca - az egész utca irányítószáma,1182
Budapest - X. - kerület - Fokos - utca - az egész utca irányítószáma,1107
Budapest - III. - kerület - Folyamõr - utca - az egész utca irányítószáma,1033
Budapest - III. - kerület - Folyóka - utca - az egész utca irányítószáma,1037
Budapest - III. - kerület - Folyondár - utca - az egész utca irányítószáma,1037
Budapest - III. - kerület - Folyondár - köz - az egész utca irányítószáma,1037
Budapest - XVIII. - kerület - Fonal - utca - az egész utca irányítószáma,1184
Budapest - XVIII. - kerület - Fonó - köz - az egész utca irányítószáma,1183
Budapest - XXII. - kerület - Fonó - utca - az egész utca irányítószáma,1221
Budapest - XI. - kerület - Fonyód - utca - az egész utca irányítószáma,1116
Budapest - III. - kerület - Forduló - utca - az egész utca irányítószáma,1037
Budapest - III. - kerület - Forduló - köz - az egész utca irányítószáma,1037
Budapest - XIII. - kerület - Forgách - utca - az egész utca irányítószáma,1139
Budapest - XIII. - kerület - Forgách - köz - az egész utca irányítószáma,1135
Budapest - XXIII. - kerület - Forgalmas - utca - az egész utca irányítószáma,1239
Budapest - XI. - kerület - Forgalmi - utca - az egész utca irányítószáma,1116
Budapest - XVIII. - kerület - Forgó - utca - az egész utca irányítószáma,1185
Budapest - II. - kerület - Forint - utca - az egész utca irányítószáma,1024
Budapest - XXII. - kerület - Forintos - köz - az egész utca irányítószáma,1224
Budapest - IX. - kerület - ForinyákGéza - utca - az egész utca irányítószáma,1097
Budapest - XVI. - kerület - Formás - utca - az egész utca irányítószáma,1162
Budapest - III. - kerület - Forrás - utca - az egész utca irányítószáma,1037
Budapest - XI. - kerület - Forrás - utca - az egész utca irányítószáma,1115
Budapest - XVII. - kerület - Forrásföldi - utca - az egész utca irányítószáma,1173
Budapest - XVII. - kerület - Forrási - dûlõ - az egész utca irányítószáma,1174
Budapest - III. - kerület - Forrásliget - utca - az egész utca irányítószáma,1038
Budapest - XVII. - kerület - Forrásmajori - utca - az egész utca irányítószáma,1172
Budapest - I. - kerület - Fortuna - utca - az egész utca irányítószáma,1014
Budapest - I. - kerület - Fortuna - köz - az egész utca irányítószáma,1014
Budapest - XVI. - kerület - Foszlány - utca - az egész utca irányítószáma,1164
Budapest - IV. - kerület - Fóti - út - 1 - 37,1044
Budapest - IV. - kerület - Fóti - út - 2 - 22,1044
Budapest - IV. - kerület - Fóti - út - az utca többi részének irányítószáma,1046
Budapest - IV. - kerület - Fóti - út - 24 - 58,1047
Budapest - IV. - kerület - Fóti - út - 39 - 77,1047
Budapest - I. - kerület - Fõ - utca - 1 - 43,1011
Budapest - I. - kerület - Fõ - utca - 2 - 60,1011
Budapest - II. - kerület - Fõ - utca - 45 - 0,1027
Budapest - II. - kerület - Fõ - utca - 62 - 0,1027
Budapest - III. - kerület - Fõ - tér - az egész utca irányítószáma,1033
Budapest - XV. - kerület - Fõ - tér - az egész utca irányítószáma,1157
Budapest - XV. - kerület - Fõ - út - az utca többi részének irányítószáma,1151
Budapest - XV. - kerület - Fõ - út - 1 - 45,1152
Budapest - XVII. - kerület - Fõ - tér - az egész utca irányítószáma,1173
Budapest - XIX. - kerület - Fõ - utca - 1 - 45,1191
Budapest - XIX. - kerület - Fõ - utca - 2 - 44,1191
Budapest - XIX. - kerület - Fõ - utca - az utca többi részének irányítószáma,1196
Budapest - XVI. - kerület - Fõhadnagy - utca - az egész utca irányítószáma,1163
Budapest - III. - kerület - Föld - utca - az egész utca irányítószáma,1032
Budapest - XXII. - kerület - Föld - utca - az egész utca irányítószáma,1225
Budapest - XVII. - kerület - Földeák - utca - az egész utca irányítószáma,1171
Budapest - XVII. - kerület - Földmûves - utca - az egész utca irányítószáma,1173
Budapest - IX. - kerület - Földváry - utca - az egész utca irányítószáma,1097
Budapest - XVIII. - kerület - Földváry - utca - az egész utca irányítószáma,1183
Budapest - XIX. - kerület - Földváry - utca - az egész utca irányítószáma,1191
