megnevezes,irsz
Törtel,2747
Nagykõrös,2750
Kocsér,2755
Nagykáta,2760
Tápióbicske,2764
Farmos,2765
Tápiószele,2766
Tápiógyörgye,2767
Újszilvás,2768
Tápiószõlõs,2769
Tatabánya - ,2800
Gyermely,2821
Szomor,2822
Vértessomló,2823
Várgesztes,2824
Tarján,2831
Héreg,2832
Vértestolna,2833
Tardos,2834
Tata - Agostyán,2835
Baj,2836
Vértesszõlõs,2837
Oroszlány,2840
Környe,2851
Kecskéd,2852
Kömlõd,2853
Dad,2854
Bokod,2855
Szákszend,2856
Császár,2858
Vérteskethely,2859
Bakonysárkány,2861
Aka,2862
Kisbér,2870
Kisbér - Hánta,2879
Ászár,2881
Kerékteleki,2882
Bársonyos,2883
Bakonyszombathely,2884
Bakonybánk,2885
Réde,2886
Ácsteszér,2887
Csatka,2888
Súr,2889
Tata - ,2890
Szomód,2896
Dunaszentmiklós,2897
Kocs,2898
Naszály,2899
Komárom - ,2900
Komárom - Koppánymonostor,2903
Mocsa,2911
Komárom - Szõny,2921
Almásfüzitõ,2931
Ács,2941
Nagyigmánd,2942
Bábolna,2943
Tárkány - Ölbõpuszta,2943
Bana,2944
Tárkány,2945
Csép,2946
Ete,2947
Kisigmánd,2948
Csém,2949
Hatvan - ,3000
Kerekharaszt,3009
Heréd,3011
Nagykökényes,3012
Ecséd,3013
Hort,3014
Csány,3015
Boldog,3016
Lõrinci,3021
Lõrinci - Mátravidékierõmû,3022
Petõfibánya,3023
Lõrinci - Selyp,3024
Zagyvaszántó,3031
Apc,3032
Rózsaszentmárton,3033
Szûcsi,3034
Gyöngyöspata,3035
Gyöngyöstarján,3036
Héhalom,3041
Palotás,3042
Egyházasdengeleg,3043
Szirák,3044
Bér,3045
Kisbágyon,3046
Buják,3047
Szarvasgede,3051
Csécse,3052
Ecseg,3053
Kozárd,3053
Pásztó - ,3060
Jobbágyi,3063
Szurdokpüspöki,3064
Pásztó - Hasznos,3065
Cserhátszentiván,3066
Bokor,3066
Kutasó,3066
Felsõtold,3067
Garáb,3067
Mátraszõlõs,3068
Alsótold,3069
Bátonyterenye - ,3070
Tar,3073
Sámsonháza,3074
Nagybárkány,3075
Kisbárkány,3075
Márkháza,3075
Mátraverebély,3077
Bátonyterenye - Kisterenye,3078
Pásztó - Mátrakeresztes,3082
Salgótarján - ,3100
Salgótarján - Baglyasalja,3102
Salgótarján - Zagyvapálfalva,3104
Salgótarján - Salgóbánya,3109
Somoskõújfalu,3121
Cered,3123
Zabar,3124
Szilaspogony,3125
Bárna,3126
Kazár,3127
Vizslás,3128
Lucfalva,3129
Nagykeresztúr,3129
Sóshartyán,3131
Nógrádmegyer,3132
Magyargéc,3133
Piliny,3134
Szécsényfelfalu,3135
Etes,3136
Karancsberény,3137
Ipolytarnóc,3138
Salgótarján - Zagyvaróna,3141
Mátraszele,3142
Mátranovák,3143
Mátranovák - Bányatelep,3144
Mátraterenye - Homokterenye,3145
Mátraterenye - Nádújfalu,3146
Kazár - Mizserfa,3147
Rákóczibánya,3151
Nemti,3152
Dorogháza,3153
Szuha,3154
Mátramindszent,3155
Kishartyán,3161
Ságújfalu,3162
Karancsság,3163
Szalmatercs,3163
Endrefalva,3165
Szécsény,3170
Nagylóc,3175
Hollókõ,3176
Rimóc,3177
Varsány,3178
Nógrádsipek,3179
Karancsalja,3181
Karancslapujtõ,3182
Karancskeszi,3183
Mihálygerge,3184
Egyházasgerge,3185
Litke,3186
Nógrádszakál,3187
Ludányhalászi,3188
Gyöngyös,3200
Gyöngyösoroszi,3211
Gyöngyöshalász,3212
Atkár,3213
Nagyréde,3214
Gyöngyös - Kékestetõ,3221
Gyöngyössolymos,3231
Gyöngyös - Mátrafüred,3232
Gyöngyös - Mátraháza,3233
Mátraszentimre - Galyatetõ,3234
Mátraszentimre,3235
Parád,3240
Parádsasvár,3242
Bodony,3243
Recsk,3245
Mátraderecske,3246
Mátraballa,3247
Ivád,3248
Pétervására,3250
Erdõkövesd,3252
Istenmezeje,3253
Váraszó,3254
Fedémes,3255
Kisfüzes,3256
Bükkszenterzsébet,3257
Tarnalelesz,3258
Szentdomonkos,3259
Abasár,3261
Pálosvörösmart,3261
Markaz,3262
Domoszló,3263
Kisnána,3264
Vécs,3265
Visonta,3271
Visonta - MátraiErõmû,3272
Halmajugra,3273
Ludas,3274
Detk,3275
Karácsond,3281
Nagyfüged,3282
Tarnazsadány,3283
Tarnaméra,3284
Vámosgyörk,3291
Adács,3292
Visznek,3293
Tarnaörs,3294
Erk,3295
Zaránk,3296
Eger,3300
Eger - Felnémet,3304
Egerbakta,3321
Hevesaranyos,3322
Szarvaskõ,3323
Felsõtárkány,3324
Noszvaj,3325
Ostoros,3326
Novaj,3327
Egerszólát,3328
Tarnaszentmária,3331
Sirok,3332
Terpes,3333
Szajla,3334
Bükkszék,3335
Bátor,3336
Egerbocs,3337
Egercsehi,3341
Szúcs,3341
Bekölce,3343
Mikófalva,3344
Mónosbél,3345
Bélapátfalva,3346
Bükkszentmárton,3346
Balaton,3347
Szilvásvárad,3348
Nagyvisnyó,3349
Kál,3350
Verpelét,3351
Feldebrõ,3352
Aldebrõ,3353
Tófalu,3354
Kápolna,3355
Kompolt,3356
Nagyút,3357
Erdõtelek,3358
Tenk,3359
Heves,3360
Boconád,3368
Tarnabod,3369
Átány,3371
Kömlõ,3372
Besenyõtelek,3373
Dormánd,3374
Mezõtárkány,3375
Szihalom,3377
Mezõszemere,3378
Egerfarmos,3379
Pély,3381
Tarnaszentmiklós,3382
Hevesvezekény,3383
Kisköre,3384
Tiszanána,3385
Sarud,3386
Újlõrincfalva,3387
Poroszló,3388
Füzesabony,3390
Egerszalók,3394
Demjén,3395
Kerecsend,3396
Maklár,3397
Nagytálya,3398
Andornaktálya,3399
Mezõkövesd,3400
Szomolya,3411
Bogács,3412
Cserépfalu,3413
Bükkzsérc,3414
Tard,3416
Cserépváralja,3417
Szentistván,3418
Mezõnyárád,3421
Bükkábrány,3422
Tibolddaróc,3423
Kács,3424
Sály,3425
Borsodgeszt,3426
Vatta,3431
Emõd,3432
Nyékládháza,3433
Mályi,3434
Mezõkeresztes,3441
Csincse,3442
Mezõnagymihály,3443
Gelej,3444
Mezõcsát,3450
Tiszakeszi,3458
Igrici,3459
Egerlövõ,3461
Borsodivánka,3462
Négyes,3463
Tiszavalk,3464
Tiszabábolna,3465
Tiszadorogma,3466
Ároktõ,3467
Miskolc,3500
Ónod,3551
Muhi,3552
Kistokaj,3553
Bükkaranyos,3554
Harsány,3555
Kisgyõr,3556
Bükkszentkereszt,3557
Répáshuta,3559
Felsõzsolca,3561
Onga,3562
Hernádkak,3563
Hernádnémeti,3564
Tiszalúc,3565
Alsózsolca,3571
Sajólád,3572
Sajópetri,3573
Bõcs,3574
Berzék,3575
Sajóhídvég,3576
Köröm,3577
Girincs,3578
Kiscsécs,3578
Kesznyéten,3579
Tiszaújváros,3580
Sajóörös,3586
Tiszapalkonya,3587
Hejõkürt,3588
Tiszatarján,3589
Oszlár,3591
Nemesbikk,3592
Hejõbába,3593
Hejõpapi,3594
Hejõszalonta,3595
Szakáld,3596
Hejõkeresztúr,3597
Nagycsécs,3598
Sajószöged,3599
Ózd,3600
Ózd - Bánszállás,3604
Farkaslyuk,3608
Ózd - Uraj,3621
Uppony,3622
Borsodszentgyörgy,3623
Ózd - Szentsimon,3625
Hangony,3626
Domaháza,3627
Kissikátor,3627
Putnok,3630
Dubicsány,3635
Vadna,3636
Sajógalgóc,3636
Nagybarca,3641
Bánhorváti,3642
Dédestapolcsány,3643
Tardona,3644
Mályinka,3645
Nekézseny,3646
Csokvaomány,3647
Csernely,3648
Bükkmogyorósd,3648
Lénárddaróc,3648
Ózd - Center,3651
Sajónémeti,3652
Sajópüspöki,3653
Bánréve,3654
Hét,3655
Sajóvelezd,3656
Sajómercse,3656
Királd,3657
Borsodbóta,3658
Sáta,3659
Ózd - Hódoscsépány,3661
Ózd - Somsálybánya,3662
Arló,3663
Járdánháza,3664
Borsodnádasd,3671
Borsodnádasd - Lemezgyár,3672
Kazincbarcika - ,3700
Berente,3704
